PMID,Year,Title,Journal,DOI,PMC
18147726,1949,Volvulus of the sigmoid; a new radiologic sign.,Radiology,10.1148/53.2.268,
14932741,1952,[Clinical and radiological aspects of gastric schwannoma].,Acta Gastroenterol Belg,,
13041012,1952,[Radiologic data on a case of gastric lipoma].,Ann Radiol Diagn (Bologna),,
13007001,1952,[Intraoperative arteriography of the caudal mesenteric artery and its branches to demonstrate vascularization of the oral intestinal stump in resection of the carcinoma of the rectum under preservation of continence].,Zentralbl Chir,,
13127146,1953,[Urography in sigmoid and rectal tumors penetrating into the urinary bladder].,Chirurg,,
13167393,1953,[Radiologic diagnosis of lymphosarcoma of the retrosigmoid].,Radiol Med,,
13187196,1954,Venous invasion in carcinoma of the rectum as evidenced by venous radiography.,Surg Gynecol Obstet,,
13332641,1956,[Gastric schwannoma; false images of ulceration].,J Radiol Electrol Arch Electr Medicale,,
13425813,1957,[Value of radiological examinations of benign gastric neoplasms].,Arch Ital Mal Appar Dig,,
13545921,1958,[Importance of the Chassard and Lapiné position for radiological diagnosis of rectosigmoid diseases].,Arch Mal Appar Dig Mal Nutr,,
13674738,1959,[Late urographic examination of patients of abdomino-perineal amputation of the rectum].,Osp Maggiore,,
14477215,1960,The venous invasion in the rectum and colon cancer. Its determination according to Barringer's modified method.,Bull Inst Med Res Univ Madr,,
14406872,1960,Involvement of the sacrum by recurrent carcinoma of the rectum.,Am J Roentgenol Radium Ther Nucl Med,,
14464995,1960,[Roentgen diagnosis of polyposis of the rectum and colon].,Zhonghua Fang She Xue Za Zhi,,
13824013,1960,The value of routine lateral rectal projection in barium enema study.,Acta Radiol (Stockh),10.3109/00016926009171655,
13873847,1961,[The kidneys and ureters in carcinoma of the rectum and sigmoid].,Rozhl Chir,,
13780762,1961,[Radiological treatment of anal tumors].,Praxis,,
14476724,1961,[Considerations on the radiodiagnosis of benign or so-called benign stomach tumors].,Rontgeneur Radiodiagn Clin Eur,,
13974673,1962,[Radiological semiology of intrinsic rectal constrictions].,Prensa Med Argent,,
13882460,1962,Calcified gastric leiomyoma.,Am J Roentgenol Radium Ther Nucl Med,,
14008229,1962,Malignant lymphoma of the colon rectum: roentgen diagnosis.,Calif Med,,PMC1574997
14164421,1963,[ANATOMIC-SURGICAL CONSIDERATIONS ON TUMORS OF THE EXTRAPERITONEAL MIDDLE AND LOWER RECTUM AND OF THE PERINEAL RECTUM].,Gazz Int Med Chir,,
14181405,1963,[INTRALYMPHATIC TRANSFUSIONS IN THE TREATMENT OF NEOPLASMS].,Eksp Khir Anesteziol,,
14108278,1963,[PSEUDOCYSTIC RECTAL LEIOMYOMA WITH EXTRAINTESTINAL GROWTH].,Rev Esp Enferm Apar Dig Nutr,,
14098133,1963,[A FEW REMARKS ON GASTRIC LEIOMYOMAS. (APROPOS OF 6 CASES)].,Arch Mal Appar Dig Mal Nutr,,
14094228,1963,[A GASTRIC SCHWANNOMA OF DIFFICULT DIAGNOSIS].,J Radiol Electrol Med Nucl,,
14056920,1963,EARLY DETECTION OF CANCER OF THE COLON AND RECTUM.,Br Med J,,PMC1873110
14135681,1963,[VILLOUS TUMORS OF THE RECTUM AND LARGE INTESTINE].,Khirurgiia (Mosk),,
14094180,1963,"[PULMONARY FORMS OF RETICULOSIS ""X"". APROPOS OF A CASE ASSOCIATING A MILIARY IMAGE WITH A PERI-ORIFICIAL GRANULOMA].",J Fr Med Chir Thorac,,
14079207,1963,WHAT ABOUT LARGE-BOWEL POLYPS IN CHILDREN?A CLINICOPATHOLOGIC STUDY.,Cleve Clin Q,10.3949/ccjm.30.4.199,
14068399,1963,THE RATES AND PATTERNS OF GROWTH OF 375 TUMORS OF THE LARGE INTESTINE AND RECTUM OBSERVED SERIALLY BY DOUBLE CONTRAST ENEMA STUDY (MALMOE TECHNIQUE).,Am J Roentgenol Radium Ther Nucl Med,,
14160001,1963,[RADIOLOGIC STUDY OF THE TESTICULAR LYMPHATIC UNIT. CLINICAL APPLICATIONS].,An Fac Med Univ Repub Montev Urug,,
14131943,1963,[CHANGES IN THE LYMPHATIC DUCTS ACCOMPANYING NEOPLASTIC AND SYSTEMIC ADENOPATHIES].,Ann Radiol Diagn (Bologna),,
14122487,1963,[EARLY DIAGNOSIS OF INTESTINAL TUMORS].,Cancro,,
5889478,1964,[Surgical colonic and rectal diseases].,Z Allgemeinmed,,
14255948,1964,[AN UNUSUAL GASTRIC SCHWANNOMA].,Ann Chir,,
14236579,1964,ELECTROLYTE DEPLETION SYNDROME ASSOCIATED WITH VILLOUS ADENOMAS OF THE RECTOSIGMOID.,Am J Roentgenol Radium Ther Nucl Med,,
14209589,1964,JUVENILE POLYPS.,South Med J,10.1097/00007611-196410000-00007,
14258690,1964,[FINDINGS ON VASCULARIZATION OF CANCER OF THE COLON AND RECTUM].,Prog Med (Napoli),,
14327616,1964,[ANGIOGRAPHIC DETERMINATION OF THE EXTENT OF SIGMOID AND RECTAL CARCINOMA].,Fortschr Geb Rontgenstr Nuklearmed,,
14210153,1964,A STUDY OF THE FUNCTIONAL DYNAMICS OF ILEAL CONDUIT URINARY DIVERSION WITH RELATIONSHIP TO URINARY INFECTION.,Surg Gynecol Obstet,,
14209698,1964,PATIENT EVALUATION FOR PELVIC EXENTERATION.,Am Surg,,
14202620,1964,CAVOGRAPHY AND LYMPHOGRAPHY IN EXTENDED SURGERY OF CANCER OF THE RECTUM.,Dis Colon Rectum,10.1007/BF02616843,
14180247,1964,[RESULTS OF ABDOMINO-PERINEAL RESECTION AND ANTERIOR RESECTIONS (WITH LOW ANASTOMOSIS AND INVAGINATION) IN SURGERY OF RECTO-SIGMOID CANCER. CRITICAL STUDY].,Minerva Chir,,
14179403,1964,RARE TUMORS OF THE GASTROINTESTINAL TRACT.,Am J Proctol,,
14209145,1964,[CLINICO-RADIOLOGICAL CONSIDERATIONS ON SUBMUCOSAL GASTRIC LIPOMA].,Minerva Gastroenterol,,
14191220,1964,LYMPHANGIOGRAPHY.,Chin Med J,,
14190411,1964,[COLONIC POLYPI NOT ACCESSIBLE TO RECTOSCOPY IN CHILDREN. (10 RECENT CASES AMONG 350 CHILDREN WITH RECTO-COLIC POLYPI)].,Arch Mal Appar Dig Mal Nutr,,
14190410,1964,[COLONIC POLYPI NOT ACCESSIBLE TO RECTOSIGMOIDOSCOPY IN ADULTS. APROPOS OF 5 CASES IN A SERIES OF 100 SUBJECTS WITH RECTO-COLIC POLYPI].,Arch Mal Appar Dig Mal Nutr,,
14176149,1964,POLYPOSIS OF THE RECTUM AND COLON IN A 12-YEAR-OLD BOY WITH SCHISTOSOMIASIS MANSONI.,Dis Colon Rectum,10.1007/BF02630542,
14184430,1964,[VENOGRAPHY WITH CONRAY IN PATIENTS WITH MALIGNANT TUMORS].,Rinsho Hoshasen,,
14175051,1964,[CONTRAST VISUALIZATION OF LYMPHATIC SYSTEM WITH LIPIODOL ULTRA-FLUIDE (ETHIODOL)].,Nihon Igaku Hoshasen Gakkai Zasshi,,
14173814,1964,[AORTIC ANEURYSM AND RECTAL CANCER].,Ann Chir,,
14169290,1964,[RADIOGRAPHIC ASPECTS OF THE THORACIC DUCT].,Minerva Radiol Fisioter Radiobiol,,
14148896,1964,[MUSCLE TUMOR OF THE RECTUM AND HEPATIC LEIOMYOSARCOMA].,Concours Med,,
14133451,1964,[RECTAL CANCER IN YOUNG PERSONS].,Presse Med (1893),,
14191692,1964,[ON LYMPHOGRAPHY WITH MYODIL].,Rinsho Hoshasen,,
14169286,1964,[ADENOGRAPHY AND PHLEBOGRAPHY IN NEOPLASMS OF THE PELVIC CAVITY].,Minerva Radiol Fisioter Radiobiol,,
14128288,1964,[HEMORRHAGIC ANGIOMATOSIS OF THE SMALL INTESTINE].,Concours Med,,
14207514,1964,[GARDNER SYNDROME].,Acta Gastroenterol Belg,,
14171960,1964,CARCINOMA OF THE KIDNEY: INCIDENTAL DISCOVERY IN A SOLITARY KIDNEY.,Lahey Clin Found Bull,,
14145096,1964,[PELVIC ANGIOGRAM IN SIGMOIDORECTAL NEOPLASMS].,Rinsho Hoshasen,,
14140850,1964,CALCIFICATION IN GASTRO-INTESTINAL CARCINOMATA.,Clin Radiol,10.1016/s0009-9260(64)80029-5,
14139910,1964,THE ROENTGEN FINDINGS OF CARCINOID TUMORS OF THE GASTROINTESTINAL TRACT: A REPORT OF 12 RECENT CASES.,Am J Roentgenol Radium Ther Nucl Med,,
14138246,1964,POSTOPERATIVE TENSION PNEUMOPERITONEUM.,Br J Surg,10.1002/bjs.1800510406,
14107007,1964,PAPILLARY (VILLOUS) ADENOMAS. LOCATION IN RECTUM AND COLON WITH ELECTROLYTE IMBALANCE.,Arch Surg,10.1001/archsurg.1964.01310220067011,
14185463,1964,[THE MALIGNANT TUMORS OF THE SMALL AND LARGE INTESTINE. 2. CLINICAL EXPERIENCES].,Zentralbl Chir,,
14154574,1964,[CEREBRAL METASTASIS FROM A LATENT RECTOSIGMOID CANCER. DOUBLE EXERESIS].,Lyon Chir,,
14152553,1964,EARLY DIAGNOSIS OF METASTATIC BONE CANCER BY PHOTOSCANNING WITH STRONTIUM-85.,J Nucl Med,,
14140801,1964,[CONTRIBUTION TO THE DIAGNOSIS OF LARGE RETRO- AND INTRAPERITONEAL STRUCTURES].,Cesk Rentgenol,,
14124418,1964,[USE OF PROTEIN-ASSIMILATING HORMONES IN RADIOLOGY].,Rinsho Hoshasen,,
14119115,1964,SUBMUCOUS LIPOMAS OF THE COLON AND RECTUM.,Surg Gynecol Obstet,,
14115305,1964,CRITERIA FOR ROENTGEN DIAGNOSIS OF SUBMUCOSAL GASTRIC LIPOMA.,Radiology,10.1148/82.2.254,
14244626,1964,[IMPORTANCE OF GAMMAGRAPHY IN THE DIAGNOSIS OF SECONDARY CANCERS OF THE LIVER].,Acta Unio Int Contra Cancrum,,
