source,pmid,doi,pmc,year,title,title_norm
retry,10851945,,,2000,[Use of magnetic resonance tomography in the diagnosis of gastrointestinal diseases].,use of magnetic resonance tomography in the diagnosis of gastrointestinal diseases
retry,10857180,10.1007/978-3-642-57151-0_24,,2000,Probe-guided surgery for colorectal cancer.,probe guided surgery for colorectal cancer
retry,11008098,10.1016/s1095-0397(00)00047-9,,2000,Evaluation of Abdominal Tumors with.,evaluation of abdominal tumors with
retry,11037562,,,2000,Rectal cancer: presentation with metastatic and locally advanced disease. American College of Radiology. ACR Appropriateness Criteria.,rectal cancer presentation with metastatic and locally advanced disease american college of radiology acr appropriateness criteria
retry,11062753,,,2000,An improved system for quantifying AgNOR and PCNA in canine tumors.,an improved system for quantifying agnor and pcna in canine tumors
retry,11341018,,,2001,[Treatment of rectal carcinoma].,treatment of rectal carcinoma
retry,11760541,,,2001,[Staging of rectal cancer by means of MRI. Experiences with the first twenty-five patients].,staging of rectal cancer by means of mri experiences with the first twenty five patients
retry,12587476,10.2298/aci0202079r,,2002,[Carcinoma of the anal canal--results of radical radiotherapy].,carcinoma of the anal canal results of radical radiotherapy
retry,12661247,,,2002,[Ilio-pelvic lymphatic dissection in the rectal cancer].,ilio pelvic lymphatic dissection in the rectal cancer
retry,12772518,,,2003,Practical issues in adjuvant therapy for rectal cancer.,practical issues in adjuvant therapy for rectal cancer
retry,12848107,,,2003,"[Report from The 3rd International Sentinel Node Congress, Yokohama, November 16-18, 2002].",report from the 3rd international sentinel node congress yokohama november 16 18 2002
retry,15457670,,,2004,"Morphometric analysis of AgNORs in thin-layer, liquid-based liver specimens.",morphometric analysis of agnors in thin layer liquid based liver specimens
retry,15458146,,,2002,Integration of intraoperative radiotherapy (IORT) dose distribution into the postoperative CT-based external beam radiotherapy (EBRT) treatment planing.,integration of intraoperative radiotherapy iort dose distribution into the postoperative ct based external beam radiotherapy ebrt treatment planing
retry,15487856,10.1024/0369-8394.93.36.1441,,2004,[Radiotherapy of rectal cancer].,radiotherapy of rectal cancer
retry,15978431,10.1016/j.soc.2005.05.005,,2005,Evolution of pelvic exenteration.,evolution of pelvic exenteration
retry,16480589,,,2006,[Types of liver metastases on MR imaging and characteristics of uncommon types].,types of liver metastases on mr imaging and characteristics of uncommon types
retry,16718825,10.3748/wjg.v12.i18.2945,PMC4087817,2006,Clinical value of CT three-dimensional imaging in diagnosing gastrointestinal tract diseases.,clinical value of ct three dimensional imaging in diagnosing gastrointestinal tract diseases
retry,17337392,,,2007,[48th meeting of the American Society for Therapeutic Radiology and Oncology (Astro)].,48th meeting of the american society for therapeutic radiology and oncology astro
retry,17338096,,,2007,"[Recommendations for clinical practice: use of TEP-FDG in cancer of the esophagus, stomach, colon and rectum, anal canal, large intestine, pancreas and bile ducts, liver and endocrine tumors (digestive system)].",recommendations for clinical practice use of tep fdg in cancer of the esophagus stomach colon and rectum anal canal large intestine pancreas and bile ducts liver and endocrine tumors digestive system
retry,17419902,,,2007,T-level downstaging and complete pathologic response after preoperative long-term radiochemotherapy for locally advanced rectal cancer.,t level downstaging and complete pathologic response after preoperative long term radiochemotherapy for locally advanced rectal cancer
retry,17604465,,,2007,Expression of epidermal growth factor receptor as a predictive factor for rectal cancer.,expression of epidermal growth factor receptor as a predictive factor for rectal cancer
retry,17940397,,,2007,[A case of liver metastasis from anorectal malignant melanoma on hemodialysis treated by chemotherapy].,a case of liver metastasis from anorectal malignant melanoma on hemodialysis treated by chemotherapy
retry,18049504,,,2007,[Recurrence of rectal cancer--treatment in Norwegian hospitals].,recurrence of rectal cancer treatment in norwegian hospitals
retry,18251142,,,2007,The contributions of virtual colonoscopy to laparoscopic colorectal surgery.,the contributions of virtual colonoscopy to laparoscopic colorectal surgery
retry,18472440,,,2008,Images in HIV/AIDS. The changing face of anal cancer.,images in hiv aids the changing face of anal cancer
retry,18478469,,,2008,[Diagnosis on the preoperative staging of rectal cancer by magnetic resonance imaging with water-bag in rectum].,diagnosis on the preoperative staging of rectal cancer by magnetic resonance imaging with water bag in rectum
retry,18795673,,,2008,A short course of preoperative radiotherapy improves prognosis of operable rectal carcinoma: a case control study.,a short course of preoperative radiotherapy improves prognosis of operable rectal carcinoma a case control study
retry,18956704,,,2008,[CT guided 125I seeds implantation in treatment of local recurrent rectal cancer after surgery resection: analysis of 21 cases].,ct guided 125i seeds implantation in treatment of local recurrent rectal cancer after surgery resection analysis of 21 cases
retry,19031952,,,2008,"Hypofractionated accelerated radiotherapy, cytoprotection and capecitabine in the treatment of rectal cancer: a feasibility study.",hypofractionated accelerated radiotherapy cytoprotection and capecitabine in the treatment of rectal cancer a feasibility study
retry,19058413,,,2008,"[Minutes of the 27th meeting of the European Society for Therapeutic Radiology and Oncology (ESTRO), Goteborg (Sweden), 14-18 September 2008].",minutes of the 27th meeting of the european society for therapeutic radiology and oncology estro goteborg sweden 14 18 september 2008
retry,19069694,10.2298/aci0803061p,,2008,Influence of long-term radiotherapy on symptoms and signs of locally advanced primary rectal cancer of distant localisation.,influence of long term radiotherapy on symptoms and signs of locally advanced primary rectal cancer of distant localisation
retry,19330178,,,2009,Evaluation by 18F-FDG-PET of patients with anal squamous cell carcinoma.,evaluation by 18f fdg pet of patients with anal squamous cell carcinoma
retry,19391334,,,2009,[Integrated multidisciplinary treatment of colorectal neoplasms].,integrated multidisciplinary treatment of colorectal neoplasms
retry,19507600,,,2009,[Diffusion weighted imaging combined with magnetic resonance conventional sequences for the diagnosis of rectal cancer].,diffusion weighted imaging combined with magnetic resonance conventional sequences for the diagnosis of rectal cancer
retry,19579600,,,2009,Prognostic role of vascularisation and proliferation in rectal cancer with liver metastasis.,prognostic role of vascularisation and proliferation in rectal cancer with liver metastasis
retry,19595040,,,2009,[Study on the tumor infiltration in mesorectum of rectal cancer by spiral computed tomography and histopathology].,study on the tumor infiltration in mesorectum of rectal cancer by spiral computed tomography and histopathology
retry,19617075,,,2006,[Chemotherapy in advanced rectal cancers].,chemotherapy in advanced rectal cancers
retry,19858619,10.4103/1319-3767.32183,,2007,Clinico-pathological patterns of colorectal cancer in Saudi Arabia: younger with an advanced stage presentation.,clinico pathological patterns of colorectal cancer in saudi arabia younger with an advanced stage presentation
retry,19886046,,,2009,[Study on the evaluation of complementary imaging methods in rectal neoplasia].,study on the evaluation of complementary imaging methods in rectal neoplasia
retry,20037351,,,2009,[Evaluation of preoperative chemoradiation therapy for lower rectal carcinoma using DWIBS].,evaluation of preoperative chemoradiation therapy for lower rectal carcinoma using dwibs
retry,20392380,,,2010,Role of neo-adjuvant chemoradiation in locally advanced rectal cancers.,role of neo adjuvant chemoradiation in locally advanced rectal cancers
retry,20496544,,,2010,The role of multimodality treatment in M0 rectal cancer: evidence and research.,the role of multimodality treatment in m0 rectal cancer evidence and research
retry,20601343,,,2010,Assessment of metabolic response to pre-operative treatment of rectal cancer.,assessment of metabolic response to pre operative treatment of rectal cancer
retry,21197735,,,2010,[Non-invasive imaging tools in colorectal cancer].,non invasive imaging tools in colorectal cancer
retry,21224664,,,2010,[A case of local relapsed rectal cancer responding to low-dose S-1].,a case of local relapsed rectal cancer responding to low dose s 1
retry,21232193,,,2010,Rectal cancer surgery. A ten years experience.,rectal cancer surgery a ten years experience
retry,21284128,,,2010,"[Minutes of the 29th meeting of the European Society for Therapeutic Radiology and Oncology (Estro), Barcelona (Spain), 12-16 September 2010].",minutes of the 29th meeting of the european society for therapeutic radiology and oncology estro barcelona spain 12 16 september 2010
retry,21322272,,,2010,[Transanal endocopic microsurgery (TEM) in advanced rectal cancer disease treatment].,transanal endocopic microsurgery tem in advanced rectal cancer disease treatment
retry,21532870,10.4329/wjr.v3.i4.92,PMC3084438,2011,Clinical significance of magnetic resonance imaging findings in rectal cancer.,clinical significance of magnetic resonance imaging findings in rectal cancer
retry,21614690,,,2011,[Application of ⁹⁹mTc-SPECT-CT and carbon nanoparticles suspension injection in sentinel lymph node mapping for rectal cancer].,application of ⁹⁹mtc spect ct and carbon nanoparticles suspension injection in sentinel lymph node mapping for rectal cancer
retry,21918654,10.1136/bcr.11.2008.1191,PMC3030094,2009,Sclerosing angiomatoid nodular transformation of the spleen presenting as a rapidly growing tumour in a patient with rectal cancer.,sclerosing angiomatoid nodular transformation of the spleen presenting as a rapidly growing tumour in a patient with rectal cancer
retry,22040541,,,2011,Simultaneous laparoscopic excision for rectal carcinoma and synchronous hepatic metastasis.,simultaneous laparoscopic excision for rectal carcinoma and synchronous hepatic metastasis
retry,22199304,,,2011,Feasibility of image-guided radiotherapy based on tomotherapy for the treatment of locally advanced anal carcinoma.,feasibility of image guided radiotherapy based on tomotherapy for the treatment of locally advanced anal carcinoma
retry,22773935,10.1007/s12328-012-0304-7,PMC3382280,2012,Chylous ascites occurring after low anterior resection of the rectum successfully treated with an oral fat-free elemental diet (Elental(®)).,chylous ascites occurring after low anterior resection of the rectum successfully treated with an oral fat free elemental diet elental ®
retry,22798154,10.4261/1305-3825.DIR.5755-12.1,,2012,Can diffusion-weighted MRI determine complete responders after neoadjuvant chemoradiation for locally advanced rectal cancer?,can diffusion weighted mri determine complete responders after neoadjuvant chemoradiation for locally advanced rectal cancer
retry,22820704,10.1007/s00464-012-2466-2,,2013,Outcome of laparoscopic colectomy for cancer in elderly patients.,outcome of laparoscopic colectomy for cancer in elderly patients
retry,22993703,10.3393/jksc.2012.28.4.179,PMC3440486,2012,An update on preoperative radiotherapy for locally advanced rectal cancer.,an update on preoperative radiotherapy for locally advanced rectal cancer
retry,23474523,,,2013,Pelvic magnetic resonance imaging for rectal cancer in a provincial centre: time to follow the standards?,pelvic magnetic resonance imaging for rectal cancer in a provincial centre time to follow the standards
retry,23808225,,,2013,[Immediate and five-year results of application of preoperative oily chemoembolization of rectal arteries in complex treatment of the loco-regional rectal cancer].,immediate and five year results of application of preoperative oily chemoembolization of rectal arteries in complex treatment of the loco regional rectal cancer
retry,24068404,,,2013,Microanatomic aspects of arterial blood supply in rectal carcinomas--predictive models.,microanatomic aspects of arterial blood supply in rectal carcinomas predictive models
retry,24415852,10.3748/wjg.v20.i1.1,PMC3885997,2014,Advances in radiotherapy and targeted therapies for rectal cancer.,advances in radiotherapy and targeted therapies for rectal cancer
retry,24511597,,,2014,[Rectal cancer--a combination of MRT and PET allows accurate diagnosis of recurrence].,rectal cancer a combination of mrt and pet allows accurate diagnosis of recurrence
retry,24629807,,PMC3926475,2013,Treatment of lateral pelvic nodes metastases from rectal cancer: the future prospective.,treatment of lateral pelvic nodes metastases from rectal cancer the future prospective
retry,24702293,,,2014,[Evaluation of safe resection margins in rectal carcinoma].,evaluation of safe resection margins in rectal carcinoma
retry,24914419,10.3978/j.issn.2223-4292.2014.01.02,PMC4032916,2014,Diagnostic accuracy of MR imaging to identify and characterize focal liver lesions: comparison between gadolinium and superparamagnetic iron oxide contrast media.,diagnostic accuracy of mr imaging to identify and characterize focal liver lesions comparison between gadolinium and superparamagnetic iron oxide contrast media
