PMID,Year,DOI,PMC,Title,Status,Route,Attempts,Error,PDFPath
32785,1979,,,[The value of diagnostic methods in colon cancer. 3. The value of X-ray examination].,archived,,0,2000年前，封存不爬取,
47284,1975,10.1007/BF02587156,,"Urologic complications after operations for anorectal cancer, with an evaluation of preoperative intravenous pyelography.",archived,,0,2000年前，封存不爬取,
70747,1977,,,[Incurable colorectal cancer. Possibilities and limits of differentiated therapy (author's transl)].,archived,,0,2000年前，封存不爬取,
87042,1979,,,[Problems in radiation therapy for carcinoma of the rectum (author's transl)].,archived,,0,2000年前，封存不爬取,
91180,1979,,,[The diagnostic value of double-contrast-technique cystography in the evaluation of benign and malignant lesions of the urinary bladder (author's transl)].,archived,,0,2000年前，封存不爬取,
98252,1978,10.1097/00003072-197805000-00004,,67Ga-citrate scanning in gastrointestinal malignancies.,archived,,0,2000年前，封存不爬取,
102163,1978,10.2214/ajr.131.4.691,,Progress in radiology: colorectal tumors: pathology and detection.,archived,,0,2000年前，封存不爬取,
104358,1979,10.1148/130.2.297,,The barium enema; evidence for proper utilization.,archived,,0,2000年前，封存不爬取,
106645,1979,10.2214/ajr.132.3.413,,Medial deviation of the pelvic ureters after abdominoperineal resection of the rectum.,archived,,0,2000年前，封存不爬取,
114011,1979,10.2214/ajr.133.4.677,,Focal irregularity of the rectal mucosa.,archived,,0,2000年前，封存不爬取,
117640,1979,,,[The colorectal neoplasm. Radiodiagnosis].,archived,,0,2000年前，封存不爬取,
129411,1975,10.1055/s-0029-1230254,,[Double and multiple carcinomas of the colon (author's transl)].,archived,,0,2000年前，封存不爬取,
137184,1976,10.1055/s-0029-1230489,,[An analysis of the radiological appearance of osteoplastic metastases and osteitis deformans (Paget's disease) (author's transl)].,archived,,0,2000年前，封存不爬取,
138278,1976,10.1007/BF00506505,,Early X-ray detection of colonic and rectal tumours in European hamsters.,archived,,0,2000年前，封存不爬取,
157946,1979,10.1055/s-0029-1231398,,[Radiologic investigations following abdomino-perineal resection of the rectum (author's transl)].,archived,,0,2000年前，封存不爬取,
157947,1979,10.1055/s-0029-1231399,,[Computer tomographic findings after resection of the rectum (author's transl)].,archived,,0,2000年前，封存不爬取,
160376,1979,10.1055/s-0029-1231479,,[Computer tomography in the diagnosis of local recurrences after resection for carcinoma of the rectum (author's transl)].,archived,,0,2000年前，封存不爬取,
169584,1975,,,[Bone metastases of colonic and rectal neoplasms. Apropos of 11 cases].,archived,,0,2000年前，封存不爬取,
183287,1976,,,[Multiple lipomas of the colon and rectum].,archived,,0,2000年前，封存不爬取,
194991,1977,,,99mTc-pyrophosphate bone scans in patients with metastatic carcinoid tumors.,archived,,0,2000年前，封存不爬取,
219672,1979,10.2214/ajr.132.5.711,,Primary and metastatic scirrrhous carcinoma of the rectum.,archived,,0,2000年前，封存不爬取,
224349,1979,,,[Criteria of surgical treatment in 148 cases of recto-sigmoid cancer].,archived,,0,2000年前，封存不爬取,
266918,1977,10.1111/j.1445-2197.1977.tb03939.x,,Liver scanning in patients with colorectal carcinoma.,archived,,0,2000年前，封存不爬取,
274129,1977,10.1111/j.1445-2197.1977.tb06629.x,,Liver scanning in patients with colorectal carcinomas.,archived,,0,2000年前，封存不爬取,
278472,1978,,,Experimental colo-rectal tumours in the rat. A histopathologic study with special reference to normal anatomy and to immunologic and radiographic aspects.,archived,,0,2000年前，封存不爬取,
284842,1979,10.1002/1097-0142(197903)43:3<913::aid-cncr2820430319>3.0.co;2-q,,Evaluation of computed tomography in the detection of pulmonary metastases: a prospective study.,archived,,0,2000年前，封存不爬取,
291405,1979,10.1111/j.1445-2197.1979.tb05833.x,,Delayed diagnosis of carcinoma of the rectum and sigmoid.,archived,,0,2000年前，封存不爬取,
313043,1979,,,[Double contrast barium enema-colonoscopy. Comparative diagnostic value in 73 patients (author's transl)].,archived,,0,2000年前，封存不爬取,
360279,1978,,,The impact of colonoscopy on the problem of colorectal cancer.,archived,,0,2000年前，封存不爬取,
401049,1977,10.1016/0363-8235(77)90017-5,,New applications of old radiographic techniques applied to computed tomography.,archived,,0,2000年前，封存不爬取,
408898,1977,,,Recent advances in radiotherapy.,archived,,0,2000年前，封存不爬取,
416684,1978,10.2214/ajr.130.4.725,,Angiography of abdominal leiomyosarcoma.,archived,,0,2000年前，封存不爬取,
419313,1979,,,[The significance of x-ray-examination in early diagnosis of colon carcinoma compared with colonoscopy (author's transl)].,archived,,0,2000年前，封存不爬取,
419445,1979,,,Splenomegaly with carcinoma of the colon and rectum.,archived,,0,2000年前，封存不爬取,
419595,1979,,,[Intestinal endometriosis].,archived,,0,2000年前，封存不爬取,
443903,1979,,PMC1397259,Rectal obstruction secondary to carcinoma of the prostate.,archived,,0,2000年前，封存不爬取,
451435,1979,,,[Radiological diagnosis of colorectal polypi and carcinomas which have not progressed].,archived,,0,2000年前，封存不爬取,
456214,1979,10.1007/BF01296540,,Comparison of flexible sigmoidoscopy with other diagnostic techniques in the diagnosis of rectocolon neoplasia.,archived,,0,2000年前，封存不爬取,
457958,1979,10.1097/00004728-197908000-00004,,Radiotherapeutic applications of pelvic computed tomography.,archived,,0,2000年前，封存不爬取,
459116,1979,,,[X-ray diagnosis of carcinoma of the colon and rectum (author's transl)].,archived,,0,2000年前，封存不爬取,
468875,1979,,,Gallium-67 citrate in detecting recurrent rectal carcinoma after abdomino-perineal resection.,archived,,0,2000年前，封存不爬取,
