Batch,PMID,Year,DOI,PMC,Status,Title
Batch,PMID,Year,DOI,PMC,Status,Title
b1,42604092,2026,10.1016/j.ctro.2026.101254,PMC13476737,pending,"Total neoadjuvant therapy for rectal cancer: where are we now, where do we go?"
b1,42601975,2026,10.3389/fonc.2026.1910961,PMC13472932,pending,Early prediction of pathological complete response in rectal cancer: a dynamic immune remodeling hypothesis during neoadjuvant treatment.
b1,42594359,2026,10.1093/bjsopen/zrag100,PMC13472491,pending,Oncological outcomes and treatment characteristics of patients with cT3-4 mesorectal fascia positive rectal cancer operated in 2016: Dutch nationwide cohort with standardized magnetic resonance imaging re-assessment.
b1,42588609,2026,10.3390/cancers18152390,PMC13463893,pending,Predicting Pathological Complete Response in Rectal Cancer: External Validation of Clinical Models.
b1,42583456,2026,10.1097/MS9.0000000000005222,PMC13460672,pending,"Study on the mechanism of ""Sang-Mei Decoction"" in postoperative rectal cancer based on evaluation with a meridian assessment instrument."
b1,42582989,2026,10.1016/j.esmogo.2026.100355,PMC13459590,pending,Reassessing the role of CEA in the treatment of rectal cancer in the era of TNT.
b1,42571219,2026,10.1177/11795549261475518,PMC13451741,pending,Short-Course Radiotherapy Combined With CapeOx and PD-1 Inhibitor Following Local Excision in High-Risk Early Rectal Cancer: Study Protocol for a Prospective Phase II Trial (TORCH-LE).
b1,42569633,2026,10.1016/j.ctro.2026.101237,PMC13450439,pending,Quantitative MRI T1 relaxation time as a biomarker of complete response in rectal cancer six weeks after neoadjuvant therapy: a prospective study.
b1,42564594,2026,10.7759/cureus.112190,PMC13443989,pending,Impact of a Structured MRI Reporting Template on the Completeness of Primary Rectal Cancer Staging Reports: A Retrospective Audit.
b1,42551037,2026,10.1093/bjsopen/zrag045,PMC13436816,pending,"Quality of life, bowel dysfunction, and long-term oncological outcomes after transanal versus laparoscopic total mesorectal excision for mid- and low- rectal cancer (Ta-LaTME study): multicentre randomized open-label trial."
b1,42539793,2026,10.23922/jarc.2025-106,PMC13424421,pending,"Prediction of Pathological Complete Response after Chemoradiation for Locally Advanced Rectal Cancer Using Machine Learning with Clinical Features, the INTERCEPTOR Study Preliminary Model."
b1,42535226,2026,10.23922/jarc.2026-007,PMC13423477,pending,Vaginal Estriol Tablet Therapy for Rectovaginal Fistula after Low Rectal Surgery: Endoscopic Evaluation of Efficacy and Healing Mechanism.
b1,42528735,2026,10.3389/fonc.2026.1867185,PMC13414183,pending,Current evidence on the management of re-recurrent rectal cancer: a systematic review.
b1,42510157,2026,10.3390/diagnostics16142294,PMC13407901,pending,Pretreatment Staging FDG PET-Derived Radiomic Score Predicts Progression-Free Survival in Locally Advanced Rectal Cancer Treated with Total Neoadjuvant Therapy.
b1,42509089,2026,10.1016/j.ebiom.2026.106397,PMC13476900,pending,Tumour cell density quantified by artificial intelligence is associated with differential benefit from irinotecan-based chemo-radiotherapy in locally advanced rectal cancer: a post-hoc study of the phase 3 ARISTOTLE trial.
b1,42507765,2026,10.1177/15330338261473039,PMC13408062,pending,Prognostic Factors and Radiotherapy Benefit in pT3N0M0 Rectal Cancer: A Retrospective Analysis.
b1,42506362,2026,10.3390/medsci14030393,PMC13414229,pending,Total Neoadjuvant Therapy Versus Long-Course Chemoradiotherapy in Locally Advanced Rectal Cancer: Real-World Tumor Response and Clinical Outcomes.
b1,42500279,2026,10.3389/fonc.2026.1801287,PMC13395617,pending,Analysis of clinicopathological features and prognosis of mesenteric versus anti-mesenteric rectal cancer: a single-center retrospective cohort study.
b1,42495710,2026,10.34133/cancomm.0041,PMC13392285,pending,Short-Course Radiotherapy-Based Total Neoadjuvant Therapy plus Tislelizumab for Locally Advanced Rectal Cancer (Neo-STAR): Early Outcomes of a Randomized Phase II Trial.
b1,42495671,2026,10.1002/ags3.70218,PMC13393513,pending,Diagnostic Accuracy of Size-Based Preoperative CT Assessment for Predicting Lymph Node Metastasis in Colon Cancer: A Systematic Review and Meta-Analysis.
b1,42494071,2026,10.1111/codi.70560,PMC13396530,pending,A simple MRI/PET-derived index predicts relapse-free survival after neoadjuvant chemoradiotherapy in locally advanced rectal cancer.
b1,42490909,2026,10.3389/fonc.2026.1862322,PMC13375517,pending,Habitat-based amide proton transfer-weighted MRI model for predicting BRAF mutation and prognostic stratification in rectal cancer.
b1,42465005,2026,10.62347/JESM9471,PMC13373570,pending,Various machine learning prediction models for short-term postoperative prognosis of colorectal cancer based on intraoperative hypothermia.
b1,42458874,2026,10.1111/codi.70554,PMC13373332,pending,Indocyanine green-guided robotic-assisted mesorectal lymphadenectomy for high-risk T1 rectal carcinoma: Preliminary results of a prospective cohort study (IDEAL stage 2a).
b1,42452606,2026,10.3390/jcm15135146,PMC13362831,pending,MRI Dark-Light-Dark Sign and Node Reporting Score: An Integrated Model for Predicting Lymph Node Metastasis in Rectal Cancer.
b1,42449666,2026,10.3390/cancers18132124,PMC13359493,pending,Plasma Sphingomyelin as a Post-Treatment Monitoring Biomarker for Pathological Response in Locally Advanced Rectal Cancer.
b1,42449570,2026,10.3390/cancers18132024,PMC13360085,pending,Feasibility of Total Neoadjuvant Treatment Using Short-Course MRI-Guided Radiotherapy with an Integrated Boost in Locally Advanced Rectal Cancer: A Pilot Study.
b1,42446791,2026,10.1007/s10029-026-03786-5,PMC13368903,pending,Effectiveness of prophylactic Sugarbaker mesh during laparoscopic abdominoperineal resection: a cohort study with 4-year follow-up.
b1,42434286,2026,10.21037/jgo-2026-0269,PMC13350587,pending,Development of a multivariable prediction model for tumor response and treatment tolerance based on body composition dynamics in rectal cancer undergoing neoadjuvant chemoradiotherapy.
b1,42434230,2026,10.21037/jgo-2026-0226,PMC13350638,pending,Deep learning model based on MRI-derived microvascular network simulation parameters for noninvasive assessment of lymphovascular invasion in rectal cancer patients.
b1,42433537,2026,10.21037/qims-2025-aw-2441,PMC13350363,pending,Value of the DeepSeek-R1 large language model in extracting structured data from magnetic resonance imaging reports of rectal cancer and assisting in tumor staging.
b1,42422630,2026,10.7759/cureus.110470,PMC13344908,pending,Prevention of Parastomal Hernia and the Prophylactic Mesh Debate: A Critical Appraisal of the Chimney Trial.
b1,42415860,2026,10.3389/fonc.2026.1757933,PMC13337384,pending,Development and expert radiologist validation of a custom pipeline for simplification of oncology radiology reports using large language model.
b1,42403785,2026,10.7759/cureus.110314,PMC13333161,pending,Indocyanine Green-Guided Lateral Pelvic Sentinel Lymph Node Mapping in Low Rectal Cancer: Toward a Selective Alternative to Systematic Sidewall Lymphadenectomy.
b1,42394705,2026,10.3389/fonc.2026.1828958,PMC13324130,pending,Risk stratification for adjuvant radiotherapy in pathologic T3N0 rectal cancer using a DeepSurv-based survival model.
b1,42394497,2026,10.11817/j.issn.1672-7347.2026.250636,PMC13305691,pending,"[Survey of radiotherapy resource allocation and service capacity in Hunan Province, 2025]."
b1,42392853,2026,10.3393/ac.2025.01067.0152,PMC13327889,pending,From regression to machine learning: improving prediction of rectal cancer recurrence.
b1,42388096,2026,10.3348/kjr.2026.0046,PMC13333229,pending,Magnetic Resonance Imaging After Total Neoadjuvant Therapy in Rectal Cancer: Treatment-Oriented Response Assessment and Reporting for Watch-and-Wait Management.
b1,42383069,2026,10.1016/j.ctro.2026.101216,PMC13315657,pending,Organ preservation in rectal cancer following clinical complete response after short-course radiotherapy-based total neoadjuvant therapy.
b1,42380715,2026,10.1007/s40123-026-01418-w,PMC13424006,pending,Retinal Vascular Features and Risk of Colorectal Cancer Incidence and Mortality: A Population-Based Cohort Study.
b1,42369141,2026,10.3389/fmed.2026.1853753,PMC13303118,pending,Machine learning for predicting surgical difficulty of laparoscopic total mesorectal excision for rectal cancer: integrating MR-based pelvimetry and peritoneal reflection.
b1,42359756,2026,10.2478/raon-2026-0033,PMC13307003,pending,Weekly measurement of HMGB1 during neoadjuvant chemoradiotherapy in rectal cancer patients: correlations with MRI response and ctDNA.
b1,42352915,2026,10.3390/ijms27125191,PMC13300251,pending,Combined Analysis of Bulk and Single-Cell Transcriptomic Data Reveals Dormancy-Associated Genes in Colorectal Cancer.
b1,42346593,2026,10.3390/jpm16060282,PMC13302377,pending,MRI-Based Radiomics to Predict Response to Neoadjuvant Therapy in Locally Advanced Rectal Cancer: A Retrospective Study.
b1,42344374,2026,10.1055/a-2882-1469,PMC13289781,pending,Endoscopic Intermuscular Dissection - Short-term Outcomes.
