PMID,Year,DOI,PMC,Title
31891748,2020,10.1016/j.mcp.2019.101502,,Multislice spiral CT images combined with CEA and lymphocyte-to-neutrophil ratio predict recurrence and post-operative metastasis of rectal cancer.
34148319,2021,10.3760/cma.j.cn.441530-20210330-00136,,[Value of high resolution magnetic resonance imaging for preoperative evaluation of Denonvilliers fascia in patients with rectal cancer].
26756616,2016,10.3233/CBM-150563,PMC13016455,Fecal miR-29a and miR-224 as the noninvasive biomarkers for colorectal cancer.
27738080,2017,10.1093/jrr/rrw098,PMC5571614,A retrospective comparison of outcome and toxicity of preoperative image-guided intensity-modulated radiotherapy versus conventional pelvic radiotherapy for locally advanced rectal carcinoma.
28560481,2017,10.1007/s10151-017-1615-y,PMC5495841,Fluorescence to highlight the urethra: a human cadaveric study.
31147789,2019,10.1186/s13244-019-0742-6,PMC6542937,Role of magnetic resonance imaging in organ-preserving strategies for the management of patients with rectal cancer.
32107687,2020,10.1007/s10151-020-02170-4,,A mathematical 3D-method applied to MRI to evaluate prostatic infiltration in advanced rectal cancer.
14736677,2004,10.2214/ajr.182.2.1820431,,High-resolution MRI of the anatomy important in total mesorectal excision of the rectum.
32520954,2020,10.1371/journal.pone.0234310,PMC7286508,Analysis of influencing factors of no/low response to preoperative concurrent chemoradiotherapy in locally advanced rectal cancer.
21271227,2011,10.1007/s00066-010-2191-5,,Novel Carcinoembryonic-Antigen-(CEA)-Specific Pretargeting System to Assess Tumor Cell Viability after Irradiation of Colorectal Cancer Cells.
33952435,2021,10.1016/j.bjps.2021.03.038,,The combined use of pedicled profunda artery perforator and bilateral gracilis flaps for pelvic reconstruction: A cohort study.
34024807,2021,10.3233/XST-210877,,Prognostic value of CT radiomics in evaluating lymphovascular invasion in rectal cancer: Diagnostic performance based on different volumes of interest.
32319859,2020,10.1148/radiol.2020200417,,Using Deep Learning for MRI to Identify Responders to Chemoradiotherapy in Rectal Cancer.
28756039,2018,10.1016/j.clnu.2017.06.028,,Muscle wasting and survival following pre-operative chemoradiotherapy for locally advanced rectal carcinoma.
28177987,2017,10.1097/DCR.0000000000000762,PMC5881116,Quality of Life and Functional Outcome After Transanal Abdominal Transanal Proctectomy for Low Rectal Cancer.
17096177,2006,10.1007/s10350-006-0734-8,,Vascular anatomy of the rectal stump after total mesorectal excision.
34112180,2021,10.1186/s12967-021-02919-x,PMC8194221,Radiomic signature of the FOWARC trial predicts pathological response to neoadjuvant treatment in rectal cancer.
11905421,2002,10.1046/j.0007-1323.2001.02036.x,,Tumour location and the effects of preoperative radiotherapy in the treatment of rectal cancer.
29473947,2018,10.1002/jso.25000,,Quality of preoperative pelvic computed tomography (CT) and magnetic resonance imaging (MRI) for rectal cancer in a region in Ontario: A retrospective population-based study.
14751499,2004,10.1016/j.ijrobp.2003.09.057,,High-tech in radiation oncology: should there be a ceiling?
21362582,2011,10.1016/j.ijrobp.2010.12.030,,Impact of preoperative radiotherapy on general and disease-specific health status of rectal cancer survivors: a population-based study.
28690775,2017,10.4240/wjgs.v9.i6.153,PMC5483415,Value of multi-disciplinary input into laparoscopic management of rectal cancer - An observational study.
19853396,2011,10.1016/j.ejrad.2009.09.016,,To be or not to be: significance of lymph nodes on pretreatment CT in predicting survival of rectal cancer patients.
26668530,2015,10.5152/UCD.2015.3015,PMC4674043,Adjuvant versus neoadjuvant chemoradiotherapy in distal rectal cancer: Comparison of two decades in a single center.
34802716,2021,10.1016/j.bulcan.2021.09.007,,[Rectal Cancer: Organ preservation and neoadjuvant treatment escalation].
30637861,2019,10.1002/jmri.26653,,Diffusion kurtosis imaging-derived histogram metrics for prediction of KRAS mutation in rectal adenocarcinoma: Preliminary findings.
21240647,2011,10.1007/s00330-010-2052-8,PMC3088810,Value of MRI and diffusion-weighted MRI for the diagnosis of locally recurrent rectal cancer.
24647108,2014,10.5582/bst.8.11,,Prediction of response to preoperative chemoradiotherapy in patients with locally advanced rectal cancer.
26674745,2016,10.2217/fon.15.295,,Standardized data collection to build prediction models in oncology: a prototype for rectal cancer.
30744694,2019,10.1186/s40644-019-0192-x,PMC6371623,Application of magnetic resonance diffusion kurtosis imaging for distinguishing histopathologic subtypes and grades of rectal carcinoma.
28931946,2017,10.1038/s41598-017-12194-w,PMC5607266,Comparison of perfusion models for quantitative T1 weighted DCE-MRI of rectal cancer.
24760269,2014,10.1007/s00259-014-2752-4,,Integrated ¹⁸F-FDG PET/perfusion CT for the monitoring of neoadjuvant chemoradiotherapy in rectal carcinoma: correlation with histopathology.
32113887,2020,10.1016/j.ejso.2020.02.034,,The impact of circumferential tumour location on the clinical outcome of rectal cancer patients managed with neoadjuvant chemoradiotherapy followed by total mesorectal excision.
32355671,2020,10.1159/000500730,PMC7184829,Comparison of Changes in Disease-Free and Overall Survival of Resectable Rectal Adenocarcinoma between 2010 and 2015.
23027623,2012,10.1093/carcin/bgs305,PMC3510742,MAP kinase genes and colon and rectal cancer.
32247689,2020,10.1016/j.canrad.2020.02.009,,Positron-emission tomography-guided radiation therapy: Ongoing projects and future hopes.
23934972,2014,10.1002/ijc.28429,PMC7706351,STAT3 inhibition sensitizes colorectal cancer to chemoradiotherapy in vitro and in vivo.
24470062,2014,10.1007/s11605-014-2463-y,,Feasibility of single-port laparoscopic surgery for sigmoid colon and rectal cancers and preoperative assessment of operative difficulty.
27073650,2016,10.3892/mco.2016.762,PMC4812157,Diagnostic value of dynamic contrast-enhanced magnetic resonance imaging in rectal cancer and its correlation with tumor differentiation.
33650664,2021,10.3892/ijo.2021.5175,,Emerging roles of non‑coding RNAs in the response of rectal cancer to radiotherapy (Review).
19403847,2009,10.1148/radiol.2521081200,,Locally advanced rectal cancer: MR imaging for restaging after neoadjuvant radiation therapy with concomitant chemotherapy. Part I. Are we able to predict tumor confined to the rectal wall?
15655623,2004,10.1007/s10151-004-0157-2,,Metachronous colorectal adenocarcinomas.
31552465,2020,10.1007/s00261-019-02225-7,,Dynamic contrast-enhanced MR imaging of rectal cancer using a golden-angle radial stack-of-stars VIBE sequence: comparison with conventional contrast-enhanced 3D VIBE sequence.
23116418,2013,10.3109/0284186X.2012.733075,,Gastrointestinal stromal tumors (GISTs) express somatostatin receptors and bind radiolabeled somatostatin analogs.
32691110,2021,10.1007/s00261-020-02654-9,,How to accurately measure the distance from the anal verge to rectal cancer on MRI: a prospective study using anal verge markers.
12771519,2003,10.1159/000069830,,Feasibility and morbidity of combined hyperthermia and radiochemotherapy in recurrent rectal cancer--preliminary results.
26170142,2015,10.1016/j.clcc.2015.05.014,,Biomarkers and Molecular Imaging as Predictors of Response to Neoadjuvant Chemoradiotherapy in Patients With Locally Advanced Rectal Cancer.
23821022,2013,10.1007/s00330-013-2952-5,,Diffusion-weighted MR imaging in primary rectal cancer staging demonstrates but does not characterise lymph nodes.
29691115,2018,10.1016/j.ejso.2018.03.029,,Beyond total mesorectal excision in locally advanced rectal cancer with organ or pelvic side-wall involvement.
32873308,2020,10.1186/s13014-020-01650-z,PMC7466827,Evaluation of small bowel motion and feasibility of using the peritoneal space to replace bowel loops for dose constraints during intensity-modulated radiotherapy for rectal cancer.
33573925,2021,10.1016/j.asjsur.2021.01.011,,Persistent extramural vascular invasion positivity on magnetic resonance imaging after neoadjuvant chemoradiotherapy predicts poor outcome in rectal cancer.
28409357,2017,10.1007/s00330-017-4830-z,,Diffusion-weighted MRI to assess response to chemoradiotherapy in rectal cancer: main interpretation pitfalls and their use for teaching.
26338180,2016,10.1007/s00259-015-3180-9,,Prediction of neoadjuvant radiation chemotherapy response and survival using pretreatment [(18)F]FDG PET/CT scans in locally advanced rectal cancer.
32669377,2020,10.1158/1078-0432.CCR-20-0337,,A Diagnostic Biopsy-Adapted Immunoscore Predicts Response to Neoadjuvant Treatment and Selects Patients with Rectal Cancer Eligible for a Watch-and-Wait Strategy.
28165313,2017,10.2460/javma.250.4.424,PMC7474547,Colonoscopic and histologic features of rectal masses in dogs: 82 cases (1995-2012).
32138828,2020,,,Stoma-site hernia after stoma reversal following rectal cancer resection.
23026928,2012,10.1097/PAS.0b013e318263207c,,Objective quantification of the Ki67 proliferative index in neuroendocrine tumors of the gastroenteropancreatic system: a comparison of digital image analysis with manual methods.
26671038,2016,10.1245/s10434-015-5021-2,,Selection of Lymph Node-Positive Cases Based on Perirectal and Lateral Pelvic Lymph Nodes Using Magnetic Resonance Imaging: Study of the Japanese Society for Cancer of the Colon and Rectum.
19651499,2009,10.1016/j.clon.2009.07.003,,Radiotherapy in England in 2007: modelled demand and audited activity.
23723012,2014,10.1002/jmri.24172,,Intravoxel incoherent motion (IVIM) MR imaging of colorectal liver metastases: are we only looking at tumor necrosis?
30538377,2018,10.1007/s13193-018-0803-1,PMC6265173,Clinical Utility of Staging Laparoscopy for Advanced Obstructing Rectal Adenocarcinoma: Emerging Tool.
23397821,2012,10.1080/00015458.2012.11680864,,Clinical applications of FDG-probe guided surgery.
24016824,2013,10.1016/j.ejrad.2013.08.007,,Apparent diffusion coefficient for discriminating metastatic from non-metastatic lymph nodes in primary rectal cancer.
29134378,2018,10.1245/s10434-017-6213-8,,Organ Preservation in Rectal Cancer After Chemoradiation: Should We Extend the Observation Period in Patients with a Clinical Near-Complete Response?
27011602,2015,10.1007/s12262-015-1223-x,PMC4775550,A New Laparoscopic Rectal Transection Method via Umbilical Incision Using Endo GIA™ Radial Reload.
32842428,2020,10.3760/cma.j.cn.441530-20190406-00149,,[Analysis on clinical factors affecting transrectal natural orifice specimen extraction in rectal cancer surgery].
30292538,2019,10.1016/j.artmed.2018.09.003,,Towards a modular decision support system for radiomics: A case study on rectal cancer.
15741027,2005,10.1016/j.ejrad.2004.06.002,,Dynamic contrast-enhanced magnetic resonance imaging: a non-invasive method to evaluate significant differences between malignant and normal tissue.
27743742,2017,10.1016/j.clcc.2016.07.020,,"Capecitabine and Oxaliplatin Before, During, and After Radiotherapy for High-Risk Rectal Cancer."
30506537,2018,,,[Prognostic factors of patients with unresectable liver metastasis from colorectal cancer after failed conversion chemotherapy].
19295245,2009,10.1159/000194950,,Can dynamic MR imaging predict response in patients with rectal cancer undergoing cetuximab-based neoadjuvant chemoradiation?
23057495,2013,10.1111/cas.12041,PMC7657105,Phase II study of preoperative chemoradiation with S-1 plus oxaliplatin in patients with locally advanced rectal cancer.
26945761,2016,10.1007/s00330-016-4283-9,PMC5203699,"Multiparametric MRI in the assessment of response of rectal cancer to neoadjuvant chemoradiotherapy: A comparison of morphological, volumetric and functional MRI parameters."
12355214,2002,10.1007/s00384-002-0400-0,,Establishment and characterization of a rectal cancer model in mice: application to cytokine gene therapy.
28722086,2017,,,[Current surgical strategy of locally recurrent rectal cancer].
25204633,2014,10.1111/codi.12773,,Total mesorectal excision optimized by pelvic MRI.
33207287,2020,10.1016/j.ejrad.2020.109368,,Application of liver acquisition with volume acceleration enhanced sequence in improving the accuracy of reassessing organ-invasive rectal mucinous adenocarcinoma after chemoradiation.
28323157,2017,10.1016/j.ijsu.2017.03.012,,Anatomic variations of inferior mesenteric artery and left colic artery evaluated by 3-dimensional CT angiography: Insights into rectal cancer surgery - A retrospective observational study.
33949877,2021,10.2214/AJR.21.25556,,"MRI Staging in an Evolving Management Paradigm for Rectal Cancer, From the AJR Special Series on Cancer Staging."
25483833,2014,10.1016/j.radonc.2014.11.026,,The role of diffusion-weighted MRI and (18)F-FDG PET/CT in the prediction of pathologic complete response after radiochemotherapy for rectal cancer: a systematic review.
26189739,2011,10.1007/s12328-011-0253-6,,A case of IgG4-related disease with rectal cancer.
26997222,2016,10.4103/1319-3767.178526,PMC4817299,Utility of rectoscopy in the assessment of response to neoadjuvant treatment for locally advanced rectal cancer.
32969877,2020,10.1097/DCR.0000000000001791,,Diagnosis and Treatment of Anal Squamous Cell Carcinoma.
29102233,2018,10.1016/j.crad.2017.09.011,,Rectal perfusion parameters normalised to tumour-free rectal wall can predict response to neoadjuvant chemoradiotherapy.
11190522,2000,,,[Primary ano-rectal melanoma].
25497874,2015,10.1016/j.radonc.2014.11.044,,Can perfusion MRI predict response to preoperative treatment in rectal cancer?
29046927,2018,10.1007/s00259-017-3855-5,,FDG PET/CT radiomics for predicting the outcome of locally advanced rectal cancer.
19858619,2007,10.4103/1319-3767.32183,,Clinico-pathological patterns of colorectal cancer in Saudi Arabia: younger with an advanced stage presentation.
22342301,2012,10.1016/j.ijrobp.2011.11.074,,Development of a standardized method for contouring the lumbosacral plexus: a preliminary dosimetric analysis of this organ at risk among 15 patients treated with intensity-modulated radiotherapy for lower gastrointestinal cancers and the incidence of radiation-induced lumbosacral plexopathy.
19409638,2009,10.1016/j.radonc.2009.04.007,,"Short-course radiotherapy, with elective delay prior to surgery, in patients with unresectable rectal cancer who have poor performance status or significant co-morbidity."
31049597,2019,10.1007/s00066-019-01471-4,,[Efficacy and safety of carbon-ion radiotherapy for locally recurrent rectal cancer: results of the J‑CROS Study 1404 Rectum].
27063857,2016,10.1016/j.ijsu.2016.03.066,,"Visceral obesity, muscle mass and outcome in rectal cancer surgery after neo-adjuvant chemo-radiation."
27652798,2016,10.1080/13645706.2016.1206572,,Transanal total mesorectal excision: technical aspects of approaching the mesorectal plane from below.
11899681,2002,10.1016/s1278-3218(01)00146-9,,"[Report on the 43rd Congress of the American Society for Therapeutic Radiology and Oncology (ASTRO), San Francisco, 4-8 November 2001]."
15487856,2004,10.1024/0369-8394.93.36.1441,,[Radiotherapy of rectal cancer].
27133686,2016,10.1016/j.clinimag.2016.01.007,,Correlation of MRI-detected extramural vascular invasion with regional lymph node metastasis in rectal cancer.
20958913,2011,10.1111/j.1463-1318.2010.02460.x,,Preoperative tumour staging with multidisciplinary team assessment improves the outcome in locally advanced primary rectal cancer.
22194028,2012,10.1007/s00066-011-0003-1,,Time management in radiation oncology: development and evaluation of a modular system based on the example of rectal cancer treatment. The DEGRO-QUIRO trial.
23808225,2013,,,[Immediate and five-year results of application of preoperative oily chemoembolization of rectal arteries in complex treatment of the loco-regional rectal cancer].
28739093,2017,10.1016/j.surg.2017.05.023,,Individual surgeon is an independent risk factor for leak after double-stapled colorectal anastomosis: An institutional analysis of 800 patients.
31189986,2019,10.1038/s41598-019-45038-w,PMC6561977,Size and lipid modification determine liposomal Indocyanine green performance for tumor imaging in a model of rectal cancer.
16943523,2006,10.1200/JCO.2005.04.2739,,Lymph node status and TS gene expression are prognostic markers in stage II/III rectal cancer after neoadjuvant fluorouracil-based chemoradiotherapy.
17641369,2007,10.1148/radiol.2442061189,,CT perfusion for the monitoring of neoadjuvant chemotherapy and radiation therapy in rectal carcinoma: initial experience.
32410082,2021,10.1007/s00464-020-07617-1,,Impact of pelvic dimensions on anastomotic leak after anterior resection for patients with rectal cancer.
33543320,2021,10.1007/s00261-020-02923-7,PMC9309895,Bone lesions on baseline staging rectal MRI: prevalence and significance in patients with rectal adenocarcinoma.
31939430,2019,10.4103/jcrt.JCRT_76_19,,Value of intravoxel incoherent motion magnetic resonance imaging for differentiating metastatic from nonmetastatic mesorectal lymph nodes with different short-axis diameters in rectal cancer.
30825182,2019,10.1007/s13402-019-00429-z,PMC12994350,Computer aided quantification of intratumoral stroma yields an independent prognosticator in rectal cancer.
30621928,2019,10.1016/j.jsxm.2018.11.008,,Sexual Health Problems and Discussion in Colorectal Cancer Patients Two Years After Diagnosis: A National Cross-Sectional Study.
21263095,2011,10.1200/JCO.2010.29.7697,,Preoperative chemoradiotherapy using concurrent capecitabine and irinotecan in magnetic resonance imaging-defined locally advanced rectal cancer: impact on long-term clinical outcomes.
33006704,2020,10.1186/s40792-020-00988-6,PMC7532260,Four cases of laparoscopic colectomy for sigmoid colon and rectal cancer with persistent descending mesocolon.
22818280,2012,10.1016/j.surge.2011.06.002,,The value of whole colonic imaging.
22958479,2013,10.1111/codi.12008,,Preoperative neutrophil to lymphocyte ratio >5 is a prognostic factor for recurrent colorectal cancer.
19031952,2008,,,"Hypofractionated accelerated radiotherapy, cytoprotection and capecitabine in the treatment of rectal cancer: a feasibility study."
15936557,2005,10.1016/j.ijrobp.2004.11.005,,Usefulness of magnetic resonance volumetric evaluation in predicting response to preoperative concurrent chemoradiotherapy in patients with resectable rectal cancer.
27487624,2016,,,[Multidisciplinary treatment of locally advanced rectal cancer].
12671697,2003,10.1038/sj.bjc.6600822,PMC2376366,Neoadjuvant systemic fluorouracil and mitomycin C prior to synchronous chemoradiation is an effective strategy in locally advanced rectal cancer.
34597228,2021,10.1148/rg.2021210035,,Applications of PET/MRI in Abdominopelvic Oncology.
31822707,2019,10.1038/s41598-019-55059-0,PMC6904447,Rectal Cancer Invasiveness: Whole-Lesion Diffusion-Weighted Imaging (DWI) Histogram Analysis by Comparison of Reduced Field-of-View and Conventional DWI Techniques.
15607154,2004,10.1016/j.brachy.2004.09.007,,CT-fluoroscopy guided interstitial brachytherapy with image-based treatment planning for unresectable locally recurrent rectal carcinoma.
27019309,2016,10.1002/jmri.25250,,Role of quantitative intravoxel incoherent motion parameters in the preoperative diagnosis of nodal metastasis in patients with rectal carcinoma.
24649029,2013,10.3892/br.2013.134,PMC3917732,Association of methylenetetrahydrofolate reductase C677T and A1298C polymorphisms with colorectal cancer risk: A meta-analysis.
31884712,2020,10.1002/nbm.4201,,A novel bayesian approach with conditional autoregressive specification for intravoxel incoherent motion diffusion-weighted MRI.
26157683,2015,10.3857/roj.2015.33.2.134,PMC4493425,Morphologic change of rectosigmoid colon using belly board and distended bladder protocol.
20622646,2011,10.1097/COC.0b013e3181dea970,,The role of neoadjuvant imatinib mesylate therapy in sphincter-preserving procedures for anorectal gastrointestinal stromal tumor.
30692356,2018,,,[Two Cases of CT-Guided Radiofrequency Ablation Therapy for Pelvic Recurrence from Rectal Cancer].
19646825,2010,10.1016/j.ijrobp.2009.04.030,,Accurate prediction of pathological rectal tumor response after two weeks of preoperative radiochemotherapy using (18)F-fluorodeoxyglucose-positron emission tomography-computed tomography imaging.
34901474,2021,10.1016/j.phro.2021.10.001,PMC8640865,Optimisation and validation of an integrated magnetic resonance imaging-only radiotherapy planning solution.
27122982,2016,10.3747/co.23.2894,PMC4835002,Collaborative case conferences in rectal cancer: case series in a tertiary care centre.
17337392,2007,,,[48th meeting of the American Society for Therapeutic Radiology and Oncology (Astro)].
30115436,2018,10.1016/j.gtc.2018.04.005,,Rectal MRI for Cancer Staging and Surveillance.
17005514,2007,10.1259/bjr/66311683,,Variation of mesorectal volume with abdominal fat volume in patients with rectal carcinoma: assessment with MRI.
32010707,2019,10.3389/fsurg.2019.00079,PMC6979275,Controversies in the Management of Lateral Pelvic Lymph Nodes in Patients With Advanced Rectal Cancer: East or West?
25982468,2015,10.1007/s00384-015-2244-4,,Role of intraoperative frozen section for assessing distal resection margin after anterior resection.
29471618,2018,10.23736/S0026-4733.18.07642-3,,Visual probing of rectal neoplasia: near-infrared interrogation of primary tumors and secondary lymph nodes.
23238383,2012,10.1097/SLE.0b013e31826d67e4,,A novel approach for the resection of low rectal cancer.
30582572,2019,10.5152/dir.2018.17499,PMC6339630,MRI evaluation of anal and perianal diseases.
15465196,2004,10.1016/j.ijrobp.2004.04.016,,Clinical implementation of intensity-modulated arc therapy (IMAT) for rectal cancer.
15868457,2005,10.1007/s10552-004-4027-z,,Colorectal cancer screening in average risk individuals.
35166221,2021,,,"MRI and correlation between TNM and CEA, CA19.9, AFP in rectal cancer Experience of a single academic surgical center."
25207560,2014,10.1120/jacmp.v15i5.4696,PMC5711099,FDG PET/CT for rectal carcinoma radiotherapy treatment planning: comparison of functional volume delineation algorithms and clinical challenges.
17931795,2008,10.1016/j.ijrobp.2007.08.043,,FDG-PET/CT imaging for staging and target volume delineation in preoperative conformal radiotherapy of rectal cancer.
34321845,2021,10.3748/wjg.v27.i25.3802,PMC8291019,Emerging applications of radiomics in rectal cancer: State of the art and future perspectives.
31874527,2019,10.3760/cma.j.issn.1671-0274.2019.12.006,,[Short-term clinical efficacy of robotic radical resection for high rectal cancer with transvaginal specimen extraction].
23790770,2013,10.1016/j.ijrobp.2013.05.004,,Feasibility of an adaptive strategy in preoperative radiochemotherapy for rectal cancer with image-guided tomotherapy: boosting the dose to the shrinking tumor.
25700810,2015,10.1007/s00384-015-2169-y,,Dynamic magnetic resonance imaging evaluation of pelvic reconstruction with porcine dermal collagen mesh following extra-levator abdominoperineal excision for primary rectal cancer.
27897414,2017,10.1002/jcsm.12158,PMC5697014,A comparative study of software programmes for cross-sectional skeletal muscle and adipose tissue measurements on abdominal computed tomography scans of rectal cancer patients.
33162318,2021,10.1016/j.acra.2020.09.024,,MRI-Based Radiomics of Rectal Cancer: Assessment of the Local Recurrence at the Site of Anastomosis.
27828820,2016,10.1097/SLA.0000000000001684,,Preventing Parastomal Hernia Using a Modified Sugarbaker Technique With Composite Mesh During Laparoscopic Abdominoperineal Resection: A Randomized Controlled Trial.
11177145,2001,10.1001/archsurg.136.2.216,,Total mesorectal excision and low rectal anastomosis for the treatment of rectal cancer and prevention of pelvic recurrences.
32548618,2020,10.1093/jrr/rraa038,PMC7336818,Linac-based fractionated stereotactic radiotherapy with a micro-multileaf collimator for large brain metastasis unsuitable for surgical resection.
18039560,2008,10.1016/j.ejso.2007.10.007,,Location of involved mesorectal and extramesorectal lymph nodes in patients with primary rectal cancer: preoperative assessment with MR imaging.
32884036,2020,10.1038/s41598-020-71577-8,PMC7471696,Impact of sentinel lymph-node biopsy and FDG-PET in staging and radiation treatment of anal cancer patients.
15802457,2005,10.1097/01.RVI.0000153439.89142.1D,,Radiofrequency ablation therapy of remnant colorectal liver metastases after a course of hepatic arterial infusion chemotherapy.
31510762,2020,10.1177/0284185119873118,,Reproducibility of measurements with a semi-automatic software package for the evaluation of rectal cancer.
31464897,2019,10.1097/MD.0000000000016614,PMC6736480,Endoscopy and magnetic resonance imaging-based prediction of ypT stage in patients with rectal cancer who received chemoradiotherapy: Results from a prospective study of 110 patients.
18513200,2009,10.1111/j.1463-1318.2008.01585.x,,The fate of anastomotic sinuses after total mesorectal excision for rectal cancer.
12831920,2003,10.1016/S1072-7515(03)00337-5,,A case-controlled study of 18-fluorodeoxyglucose positron emission tomography in the detection of pelvic recurrence in previously irradiated rectal cancer patients.
