PMID,SourceRoute,License,LicenseStatus
32785,,unverified,unverified
47284,,unverified,unverified
70747,,unverified,unverified
87042,,unverified,unverified
91180,,unverified,unverified
98252,,unverified,unverified
102163,,unverified,unverified
104358,,unverified,unverified
106645,,unverified,unverified
114011,,unverified,unverified
117640,,unverified,unverified
129411,,unverified,unverified
137184,,unverified,unverified
138278,,unverified,unverified
157946,,unverified,unverified
157947,,unverified,unverified
160376,,unverified,unverified
169584,,unverified,unverified
183287,,unverified,unverified
194991,,unverified,unverified
219672,,unverified,unverified
224349,,unverified,unverified
266918,,unverified,unverified
274129,,unverified,unverified
278472,,unverified,unverified
284842,,unverified,unverified
291405,,unverified,unverified
313043,,unverified,unverified
360279,,unverified,unverified
401049,,unverified,unverified
408898,,unverified,unverified
416684,,unverified,unverified
419313,,unverified,unverified
419445,,unverified,unverified
419595,,unverified,unverified
443903,,unverified,unverified
451435,,unverified,unverified
456214,,unverified,unverified
457958,,unverified,unverified
459116,,unverified,unverified
468875,,unverified,unverified
493505,,unverified,unverified
493506,,unverified,unverified
499977,,unverified,unverified
504662,,unverified,unverified
505264,,unverified,unverified
539063,,unverified,unverified
602218,,unverified,unverified
636270,,unverified,unverified
638697,,unverified,unverified
639456,,unverified,unverified
654018,,unverified,unverified
663240,,unverified,unverified
672487,,unverified,unverified
684224,,unverified,unverified
684394,,unverified,unverified
706893,,unverified,unverified
707098,,unverified,unverified
709512,,unverified,unverified
722659,,unverified,unverified
736578,,unverified,unverified
736660,,unverified,unverified
740902,,unverified,unverified
742330,,unverified,unverified
743492,,unverified,unverified
838496,,unverified,unverified
844394,,unverified,unverified
847182,,unverified,unverified
850859,,unverified,unverified
853487,,unverified,unverified
857410,,unverified,unverified
862475,,unverified,unverified
867715,,unverified,unverified
880573,,unverified,unverified
897520,,unverified,unverified
899195,,unverified,unverified
916273,,unverified,unverified
932117,,unverified,unverified
936807,,unverified,unverified
942556,,unverified,unverified
946107,,unverified,unverified
949681,,unverified,unverified
962482,,unverified,unverified
991687,,unverified,unverified
993665,,unverified,unverified
996711,,unverified,unverified
1000469,,unverified,unverified
1003805,,unverified,unverified
1011645,,unverified,unverified
1021014,,unverified,unverified
1023366,,unverified,unverified
1024825,,unverified,unverified
1052440,,unverified,unverified
1053789,,unverified,unverified
1082331,,unverified,unverified
1083011,,unverified,unverified
1090479,,unverified,unverified
1091321,,unverified,unverified
1093504,,unverified,unverified
1097360,,unverified,unverified
1115052,,unverified,unverified
1119474,,unverified,unverified
1119662,,unverified,unverified
1119678,,unverified,unverified
1125588,,unverified,unverified
1126258,,unverified,unverified
1126810,,unverified,unverified
1127725,,unverified,unverified
1133921,,unverified,unverified
1145274,,unverified,unverified
1145924,,unverified,unverified
1154032,,unverified,unverified
1156167,,unverified,unverified
1160537,,unverified,unverified
1162570,,unverified,unverified
1168755,,unverified,unverified
1172172,,unverified,unverified
1178892,,unverified,unverified
1183061,,unverified,unverified
1185073,,unverified,unverified
1191900,,unverified,unverified
1199660,,unverified,unverified
1209746,,unverified,unverified
1209903,,unverified,unverified
1215525,,unverified,unverified
1215527,,unverified,unverified
1217846,,unverified,unverified
1226857,,unverified,unverified
1228319,,unverified,unverified
1240882,,unverified,unverified
1241466,,unverified,unverified
