PMID,Year,DOI,PMC,Title,Source,Status,Route,Attempts,LastError,PDFPath
10661338,2000,10.1016/s0360-3016(99)00411-3,,Preoperative radiochemotherapy in rectal cancer: long-term results of a phase II trial.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_10661338.pdf
10851945,2000,,,[Use of magnetic resonance tomography in the diagnosis of gastrointestinal diseases].,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
10857180,2000,10.1007/978-3-642-57151-0_24,,Probe-guided surgery for colorectal cancer.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
10910241,2000,10.1007/BF02237357,,Prospective evaluation of omentoplasty in preventing leakage of colorectal anastomosis.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_10910241.pdf
10997424,2000,10.1007/s003300000372,,Local recurrence of rectal cancer: MR imaging before and after oral superparamagnetic particles vs contrast-enhanced computed tomography.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_10997424.pdf
11008098,2000,10.1016/s1095-0397(00)00047-9,,Evaluation of Abdominal Tumors with.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
11037562,2000,,,Rectal cancer: presentation with metastatic and locally advanced disease. American College of Radiology. ACR Appropriateness Criteria.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
11062753,2000,,,An improved system for quantifying AgNOR and PCNA in canine tumors.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
11177145,2001,10.1001/archsurg.136.2.216,,Total mesorectal excision and low rectal anastomosis for the treatment of rectal cancer and prevention of pelvic recurrences.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_11177145.pdf
11190522,2000,,,[Primary ano-rectal melanoma].,1000,done,crossref:scihub,1,,pdfs_sample_1000\PMID_11190522.pdf
11195411,2000,,,NCCN Practice Guidelines for Colorectal Cancer.,50,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
11341018,2001,,,[Treatment of rectal carcinoma].,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
11383066,2001,10.1007/s001040051344,,[PET studies of recurrent rectal carcinoma. Fundamental aspects of lymphatic metastasis of visceral and somatic carcinomas].,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_11383066.pdf
11483342,2001,10.1016/s0360-3016(01)01540-1,,A phase I/II trial of three-dimensionally planned concurrent boost radiotherapy and protracted venous infusion of 5-FU chemotherapy for locally advanced rectal carcinoma.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_11483342.pdf
11567822,2001,10.1016/s0360-3016(01)01644-3,,"Dislocation of small bowel volume within box pelvic treatment fields, using new ""up down table"" device.",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_11567822.pdf
11754847,2001,10.1016/s0002-9610(01)00748-6,,Local recurrence of cancer of the rectum.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_11754847.pdf
11760541,2001,,,[Staging of rectal cancer by means of MRI. Experiences with the first twenty-five patients].,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
11898034,2002,10.1007/s00268-001-0181-6,,New predictor for the defecatory function after sphincter-preserving operation: lumen score.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_11898034.pdf
11899681,2002,10.1016/s1278-3218(01)00146-9,,"[Report on the 43rd Congress of the American Society for Therapeutic Radiology and Oncology (ASTRO), San Francisco, 4-8 November 2001].",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_11899681.pdf
11905421,2002,10.1046/j.0007-1323.2001.02036.x,,Tumour location and the effects of preoperative radiotherapy in the treatment of rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_11905421.pdf
11952317,2002,10.1053/crad.2001.0736,,MR imaging and computed tomography in patients with rectal tumours clinically judged as locally advanced.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_11952317.pdf
12029553,2002,10.1007/s00259-002-0779-4,,PET imaging with [11C]methyl- L-methionine for therapy monitoring in patients with rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12029553.pdf
12066242,2002,10.1007/s00261-001-0124-6,,Current and future perspectives on the role of internal coils for magnetic resonance imaging of the anal sphincter and rectum.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12066242.pdf
12147376,2002,10.1016/S0140-6736(02)09520-X,,Diffusion MRI for prediction of response of rectal cancer to chemoradiation.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12147376.pdf
12221559,2002,10.1055/s-2002-33957,,[Total mesorectal excison and colonic-J-pouch-anal anastomosis in the therapy of low rectal carcinoma--results in 116 patients].,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12221559.pdf
12232483,2002,10.1159/000066049,,Significance of surgery in the multimodality treatment of rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12232483.pdf
12355214,2002,10.1007/s00384-002-0400-0,,Establishment and characterization of a rectal cancer model in mice: application to cytokine gene therapy.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12355214.pdf
12483379,2003,10.1007/s00261-001-0127-3,,Gadolinium-enhanced MRI with dynamic evaluation in diagnosing the local recurrence of rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12483379.pdf
12507203,2002,10.1016/s0039-6109(02)00049-x,,Local therapy for rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12507203.pdf
